,season,teamName,week,team,opponent,result,owner,opponent_owner
642,2020,Creamworks VII,3,1,Chub Chub,186.67 - 214.40 Loss,Owen,John
643,2020,Creamworks VII,4,1,Hackysack Millionaires,176.23 - 134.90 Win,Owen,Peter
644,2020,Creamworks VII,5,1,Bing Bong,186.37 - 143.93 Win,Owen,zeyad
645,2020,Creamworks VII,6,1,Washington Foreskins,149.27 - 126.37 Win,Owen,Ryan
646,2020,Creamworks VII,7,1,Footle My Tootle,159.43 - 130.83 Win,Owen,Jake
647,2020,Creamworks VII,8,1,The Yoshinoya Beef Bowls,194.93 - 117.67 Win,Owen,Kevin
648,2020,Creamworks VII,9,1,Munter Hunters,176.40 - 115.73 Win,Owen,nickolai
649,2020,Creamworks VII,10,1,Chub Chub,79.50 - 168.90 Loss,Owen,John
650,2020,Creamworks VII,11,1,Hackysack Millionaires,183.70 - 190.93 Loss,Owen,Peter
651,2020,Creamworks VII,12,1,Bing Bong,223.70 - 135.53 Win,Owen,zeyad
652,2020,Creamworks VII,13,1,Washington Foreskins,163.20 - 143.73 Win,Owen,Ryan
653,2020,Creamworks VII,14,1,Footle My Tootle,166.00 - 127.10 Win,Owen,Jake
654,2020,Creamworks VII,15,1,Washington Foreskins,161.13 - 103.67 Win,Owen,Ryan
655,2020,Creamworks VII,16,1,Bing Bong,148.13 - 164.94 Loss,Owen,zeyad
656,2020,The Yoshinoya Beef Bowls,1,2,Creamworks VII,177.83 - 152.97 Win,Kevin,Owen
657,2020,The Yoshinoya Beef Bowls,2,2,Chub Chub,186.60 - 164.97 Win,Kevin,John
658,2020,The Yoshinoya Beef Bowls,3,2,Bing Bong,127.77 - 148.40 Loss,Kevin,zeyad
659,2020,The Yoshinoya Beef Bowls,4,2,Footle My Tootle,187.07 - 127.10 Win,Kevin,Jake
660,2020,The Yoshinoya Beef Bowls,5,2,Munter Hunters,126.67 - 159.80 Loss,Kevin,nickolai
661,2020,The Yoshinoya Beef Bowls,6,2,Hackysack Millionaires,130.63 - 198.00 Loss,Kevin,Peter
662,2020,The Yoshinoya Beef Bowls,7,2,Washington Foreskins,81.20 - 208.27 Loss,Kevin,Ryan
663,2020,The Yoshinoya Beef Bowls,8,2,Creamworks VII,117.67 - 194.93 Loss,Kevin,Owen
664,2020,The Yoshinoya Beef Bowls,9,2,Chub Chub,122.33 - 107.20 Win,Kevin,John
665,2020,The Yoshinoya Beef Bowls,10,2,Bing Bong,129.93 - 146.03 Loss,Kevin,zeyad
666,2020,The Yoshinoya Beef Bowls,11,2,Footle My Tootle,124.60 - 186.30 Loss,Kevin,Jake
667,2020,The Yoshinoya Beef Bowls,12,2,Munter Hunters,66.90 - 145.47 Loss,Kevin,nickolai
668,2020,The Yoshinoya Beef Bowls,13,2,Hackysack Millionaires,157.40 - 165.43 Loss,Kevin,Peter
669,2020,The Yoshinoya Beef Bowls,14,2,Washington Foreskins,145.37 - 158.03 Loss,Kevin,Ryan
670,2020,The Yoshinoya Beef Bowls,15,2,Chub Chub,209.60 - 175.13 Win,Kevin,John
